Course,GPA,Year
CS 4255,3.67 ,2009
FREN 4107,4.00 ,2013
FREN 4105,3.60 ,2012
FREN 4103,3.54 ,2011
FREN 4102,3.85 ,2011
FREN 4101,3.77 ,2009
FREN 4101,4.00 ,2012
CHEM 2802,4.00 ,2010
CHEM 2802,4.00 ,2011
CHEM 2803,3.58 ,2008
CHEM 2803,3.59 ,2010
CHEM 2803,3.50 ,2011
CHEM 2803,3.25 ,2013
CHEM 2801,4.00 ,2008
CHEM 2801,3.88 ,2009
CHEM 2801,2.00 ,2010
CHEM 2801,3.50 ,2011
CHEM 2801,3.72 ,2012
CHEM 2801,3.90 ,2013
ECE 4881,4.00 ,2012
ECE 4881,3.88 ,2013
ECON 4450,3.87 ,2008
ECON 4450,3.66 ,2009
ECON 4450,3.52 ,2010
ECON 4450,3.65 ,2011
ECON 4450,3.48 ,2012
ECON 4450,3.75 ,2013
PSYC 2230,3.05 ,2008
PSYC 2230,3.27 ,2009
PSYC 2230,3.16 ,2010
PSYC 2230,3.30 ,2011
PSYC 2230,3.34 ,2012
PSYC 2230,3.13 ,2013
CEE 2040,2.74 ,2008
CEE 2040,2.71 ,2009
CEE 2040,2.69 ,2010
CEE 2040,3.12 ,2011
CEE 2040,2.88 ,2012
CEE 2040,3.16 ,2013
HTS 2041,3.37 ,2010
HTS 2041,3.28 ,2012
HTS 2041,3.39 ,2013
ECE 4833,3.00 ,2008
ECE 4833,3.42 ,2010
ECE 4833,4.00 ,2012
ECE 4833,4.00 ,2013
MGT 3000,3.14 ,2008
MGT 3000,3.15 ,2009
MGT 3000,2.86 ,2010
MGT 3000,2.88 ,2011
MGT 3000,3.06 ,2012
MGT 3000,3.18 ,2013
MSL 3001,4.00 ,2008
MSL 3001,3.42 ,2009
MSL 3001,3.69 ,2010
MSL 3001,3.73 ,2011
MSL 3001,4.00 ,2012
INTA 3111,3.79 ,2010
INTA 3111,3.41 ,2011
MSL 3002,4.00 ,2008
MSL 3002,3.75 ,2009
MSL 3002,3.22 ,2010
MSL 3002,3.64 ,2011
MSL 3002,4.00 ,2012
MSL 3002,4.00 ,2013
CEE 4640,3.18 ,2010
CEE 4640,3.25 ,2011
CEE 4640,3.01 ,2012
ME 3322,2.40 ,2008
ME 3322,2.58 ,2009
ME 3322,2.73 ,2010
ME 3322,2.66 ,2011
ME 3322,2.65 ,2012
ME 3322,2.97 ,2013
SPAN 4823,4.00 ,2013
MUSI 3600,4.00 ,2008
MUSI 3600,4.00 ,2009
MUSI 3600,3.71 ,2010
MUSI 3600,3.94 ,2011
MUSI 3600,4.00 ,2012
MUSI 3600,4.00 ,2013
MUSI 3601,4.00 ,2008
MUSI 3601,4.00 ,2009
MUSI 3601,4.00 ,2010
MUSI 3601,4.00 ,2011
MUSI 3601,4.00 ,2012
MUSI 3602,4.00 ,2009
MUSI 3602,4.00 ,2010
MUSI 3602,3.90 ,2011
MUSI 3602,4.00 ,2012
MUSI 3602,3.77 ,2013
FREN 4813,3.75 ,2008
FREN 4813,3.78 ,2009
FREN 4813,3.64 ,2010
FREN 4813,3.67 ,2011
FREN 4813,4.00 ,2012
CS 4510,3.24 ,2008
CS 4510,3.17 ,2010
CS 4510,3.18 ,2011
CS 4510,2.77 ,2012
CS 4510,3.16 ,2013
ISYE 4301,3.10 ,2010
ISYE 4301,2.93 ,2011
ISYE 4301,2.88 ,2012
ISYE 4301,2.78 ,2013
PHYS 3141,3.34 ,2008
PHYS 3141,3.38 ,2009
PHYS 3141,2.27 ,2010
PHYS 3141,2.12 ,2011
PHYS 3141,2.09 ,2012
EAS 3610,2.75 ,2009
EAS 3610,2.67 ,2010
EAS 3610,2.29 ,2012
ECE 4902,3.63 ,2008
ECE 4902,3.91 ,2009
ECE 4902,4.00 ,2010
ECE 4902,4.00 ,2011
ECE 4902,3.90 ,2012
ECE 4902,3.80 ,2013
ECE 4903,4.00 ,2008
ECE 4903,3.97 ,2009
ECE 4903,3.85 ,2010
ECE 4903,4.00 ,2011
ECE 4903,4.00 ,2012
ECE 4903,4.00 ,2013
ECE 4901,3.91 ,2008
ECE 4901,3.94 ,2009
ECE 4901,4.00 ,2010
ECE 4901,4.00 ,2011
ECE 4901,3.87 ,2012
ECE 4901,4.00 ,2013
CHBE 4902,4.00 ,2008
CHBE 4902,4.00 ,2010
CHBE 4902,3.50 ,2012
CHBE 4903,4.00 ,2008
CHBE 4903,4.00 ,2011
CHBE 4903,4.00 ,2012
CHBE 4903,4.00 ,2013
CHEM 3281,3.44 ,2008
CHEM 3281,3.00 ,2009
CHEM 3281,2.63 ,2010
CHEM 3281,2.43 ,2011
CHEM 3281,1.83 ,2012
CHBE 4901,4.00 ,2009
CHBE 4901,4.00 ,2010
CHBE 4901,3.50 ,2011
CHBE 4901,3.50 ,2012
ECE 1750,3.20 ,2008
ECE 1750,2.00 ,2009
AE 3521,2.15 ,2008
AE 3521,2.66 ,2009
AE 3521,2.68 ,2010
AE 3521,3.16 ,2011
AE 3521,2.41 ,2012
AE 3521,2.51 ,2013
ME 3744,3.30 ,2009
ME 3744,3.75 ,2010
ME 3744,3.57 ,2011
ME 3744,3.31 ,2012
ME 3744,3.42 ,2013
PTFE 3210,2.94 ,2008
PTFE 3210,3.08 ,2009
PTFE 3210,2.97 ,2010
PTFE 3210,2.87 ,2011
PTFE 3210,2.98 ,2012
PTFE 3210,3.24 ,2013
ME 4791,3.25 ,2008
ME 4791,3.35 ,2009
ME 4791,3.04 ,2010
ME 4791,3.00 ,2011
ME 4791,3.30 ,2012
ME 4790,2.86 ,2012
ME 4793,4.00 ,2008
ME 4793,3.21 ,2009
ME 4793,2.43 ,2010
ME 4793,3.24 ,2011
ME 4793,3.08 ,2012
ME 4793,4.00 ,2013
PST 1101,3.45 ,2008
PST 1101,3.67 ,2009
PST 1101,3.44 ,2010
PST 1101,3.13 ,2011
ECE 3803,3.54 ,2012
ARCH 2111,2.48 ,2008
ARCH 2111,2.98 ,2009
ARCH 2111,2.42 ,2010
ARCH 2111,2.64 ,2011
ARCH 2111,2.67 ,2012
MSE 3021,2.74 ,2008
MSE 3021,3.09 ,2009
MSE 3021,2.92 ,2010
MSE 3021,3.55 ,2011
MSE 3021,3.51 ,2012
MSE 3021,3.68 ,2013
MSE 3025,3.38 ,2008
MSE 3025,2.37 ,2009
MSE 3025,3.03 ,2010
MSE 3025,2.90 ,2011
MSE 3025,2.39 ,2012
MSE 3025,3.00 ,2013
PHYS 2699,4.00 ,2008
PHYS 2699,3.91 ,2009
PHYS 2699,4.00 ,2010
PHYS 2699,3.88 ,2011
PHYS 2699,4.00 ,2012
