course,GPA,A,B,C,D,F,W,semester,year
MATH 2602,2.94 ,30.00 ,41.67 ,20.83 ,1.33 ,4.50 ,2.00 ,Fall,2009
MATH 2602,2.70 ,30.20 ,27.60 ,19.80 ,13.00 ,4.20 ,5.40 ,Fall,2010
MATH 2602,2.73 ,27.00 ,31.20 ,27.60 ,6.60 ,4.20 ,4.00 ,Fall,2011
MATH 2602,3.28 ,47.17 ,35.67 ,11.50 ,2.33 ,1.17 ,1.33 ,Fall,2012
MATH 2602,2.72 ,22.40 ,38.60 ,23.00 ,9.20 ,2.60 ,4.20 ,Spring,2008
MATH 2602,2.61 ,19.33 ,36.00 ,27.33 ,12.50 ,2.00 ,3.17 ,Spring,2009
MATH 2602,2.79 ,31.33 ,29.17 ,22.33 ,5.50 ,5.83 ,5.83 ,Spring,2010
MATH 2602,2.81 ,34.00 ,30.33 ,19.50 ,9.17 ,5.00 ,2.17 ,Spring,2011
MATH 2602,2.67 ,24.00 ,30.17 ,30.33 ,9.50 ,2.00 ,3.83 ,Spring,2012
MATH 2602,2.70 ,22.50 ,35.50 ,27.50 ,6.83 ,3.50 ,5.00 ,Spring,2013
MATH 2602,2.29 ,13.00 ,21.50 ,42.00 ,10.50 ,5.00 ,9.00 ,Summer,2008
MATH 2602,2.82 ,25.50 ,28.50 ,31.00 ,3.00 ,1.50 ,10.00 ,Summer,2009
MATH 2602,2.51 ,28.00 ,28.50 ,20.00 ,12.50 ,11.00 ,0.00 ,Summer,2010
MATH 2602,3.26 ,41.00 ,34.50 ,15.00 ,2.00 ,0.00 ,6.50 ,Summer,2011
MATH 2602,2.93 ,44.00 ,23.50 ,21.00 ,5.00 ,6.50 ,0.00 ,Summer,2012
MATH 2602,2.96 ,37.50 ,33.00 ,18.00 ,9.00 ,2.00 ,0.00 ,Summer,2013
ECE 3901,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2008
ECE 3901,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2010
ECE 3901,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2012
ECE 3901,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2008
ECE 3901,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2012
ECE 3901,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2013
ECE 3901,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Summer,2011
ECE 3901,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Summer,2012
EAS 3603,3.14 ,41.00 ,32.00 ,18.00 ,5.00 ,0.00 ,5.00 ,Fall,2008
EAS 3603,3.09 ,28.00 ,53.00 ,19.00 ,0.00 ,0.00 ,0.00 ,Fall,2009
EAS 3603,2.97 ,33.00 ,33.00 ,27.00 ,0.00 ,3.00 ,3.00 ,Fall,2010
