course,semester,year,A,B,C,D,F,W,GPA
CS 4699,Summer,2013,75,0,25,0,0,0,3.5
CS 4270,Fall,2008,95,0,0,0,0,5,4
CS 4270,Fall,2010,94,6,0,0,0,0,3.94
CS 4270,Fall,2011,80,20,0,0,0,0,3.8
CS 4270,Fall,2012,56,33,11,0,0,0,3.44
CS 4270,Spring,2008,92,3,3,0,0,3,3.92
CS 4480,Fall,2008,90,5,0,0,0,5,3.95
CS 4480,Fall,2009,76,22,2,0,0,0,3.73
CS 4480,Fall,2010,81,14,2,0,2,0,3.72
CS 4480,Fall,2011,53,38,7,2,0,0,3.42
CS 3240,Fall,2008,40,23,21,4,13,0,2.73
CS 3240,Fall,2009,30,24,26,6,2,12,2.84
CS 3240,Fall,2010,27,34,24,5,5,5,2.78
CS 3240,Fall,2011,27,46,15,1,0,10,3.1
CS 3240,Fall,2012,26,48,17,3,3,4,2.96
CS 3240,Spring,2008,27,34,32,3,3,3,2.82
CS 3240,Spring,2009,18,35,25,7,3,11,2.67
CS 3240,Spring,2010,25,37,15,5,7,10,2.77
CS 3240,Spring,2011,23,35,20,6,5,11,2.74
CS 3240,Spring,2012,30,48,12,3,4,3,3
CS 3240,Spring,2013,34,41,12,5,3,5,3.04
CS 3240,Summer,2008,48,30,4,4,4,11,3.29
CS 3240,Summer,2009,38,33,5,5,10,10,2.95
CS 4210,Fall,2009,0,100,0,0,0,0,3
CS 4210,Fall,2011,50,17,0,0,0,33,3.75
CS 4210,Fall,2012,0,100,0,0,0,0,3
CS 4210,Spring,2008,33,19,12,5,5,0,2.97
CS 4210,Spring,2009,25,0,50,25,0,0,2.25
CS 4290,Fall,2009,36,18,36,0,0,9,3
CS 4290,Fall,2010,41,18,24,12,0,6,2.94
CS 4290,Fall,2011,47,20,20,7,0,7,3.14
CS 4290,Fall,2012,34,22.5,0,0,3,34.5,3.435
CS 4290,Spring,2009,29,14,14,14,0,29,2.8
CS 4290,Spring,2010,54,31,0,0,0,15,3.64
CS 4290,Spring,2011,40,20,30,0,0,10,3.11
CS 4290,Spring,2012,23,45,7.5,6,0,18.5,3.04
CS 4290,Spring,2013,36.5,19.5,6.5,1.5,28,8,2.405
CS 4290,Summer,2013,25,0,0,25,25,25,1.67
CS 3630,Spring,2008,42,42,10,0,0,6,3.34
CS 3630,Spring,2009,68,26,6,0,0,0,3.61
CS 3630,Spring,2010,48,23,18,0,0,13,3.34
CS 3630,Spring,2011,27,57,10,0,0,6,3.17
CS 3630,Spring,2012,36,40,10,0,0,14,3.31
CS 3630,Spring,2013,45,34,14,2,0,5,3.3
CS 4690,Fall,2009,100,0,0,0,0,0,4
CS 4690,Spring,2008,39,43,4,0,4,4,3.24
CS 4690,Spring,2009,25,50,0,13,0,13,3
CS 4510,Spring,2008,38,33,5,0,5,19,3.24
CS 4510,Spring,2010,45,25,15,0,5,10,3.17
CS 4510,Spring,2011,46,24,14,0,5,11,3.18
CS 4510,Spring,2012,27,35,31,4,4,0,2.77
CS 4510,Spring,2013,54,15,19,4,4,4,3.16
CS 1331,Fall,2008,23.5,26.75,22.5,10,14.75,3.5,2.35
CS 1331,Fall,2009,22,32,20.75,4,15.25,5.5,2.4375
CS 1331,Fall,2010,21.4,31.2,19.2,10.8,13,3.8,2.406
CS 1331,Fall,2011,32.33333333,28.33333333,15.66666667,6.833333333,11.33333333,5.166666667,2.663333333
CS 1331,Fall,2012,33.125,33,15.25,9.125,4.25,4.875,2.86375
CS 1331,Spring,2008,31.75,29.25,18.5,8.5,4.5,7.75,2.8175
CS 1331,Spring,2009,22.4,31.6,22.6,7.4,12,3.8,2.464
CS 1331,Spring,2010,16.16666667,33.33333333,25.83333333,11.66666667,8.333333333,4.666666667,2.381666667
CS 1331,Spring,2011,19.5,35.5,26.83333333,9.5,4,5,2.595
CS 1331,Spring,2012,25.16666667,41.83333333,18.66666667,5.5,4,4.666666667,2.836666667
CS 1331,Spring,2013,33.5,36,16,3.875,6.5,1.625,2.8875
CS 1331,Summer,2010,27,29.5,24.5,9,3.5,7,2.72
CS 1331,Summer,2011,29,33.5,17,8.5,7,5.5,2.725
CS 1331,Summer,2012,28.5,35,21.5,7,5,3,2.78
CS 1331,Summer,2013,32.33333333,25,11,10.33333333,4.666666667,15.66666667,2.84
CS 1332,Fall,2008,25.33333333,31.33333333,22,5,10,6.666666667,2.61
CS 1332,Fall,2009,50,23.66666667,8.666666667,2,5.666666667,9.666666667,3.236666667
CS 1332,Fall,2010,25.25,39.5,14.5,4,3.75,13.5,2.8925
CS 1332,Fall,2011,50,20.25,11,4.5,1.5,12.25,3.275
CS 1332,Fall,2012,34,25.2,20.2,9,4.8,6.6,2.814
CS 1332,Spring,2008,27,14,11.5,11.5,13.5,23,2.38
