courseID,profID,courseID.1,Course,Section,Year,Prof,A,B,C,D,F,W,Size,Level,GPA,Y,AverageGPA,Semester
CS4803,MACINTYREBLAIR,CS4803,CS 4803,HAR,2010,"MacIntyre, Blair",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.502,Spring
CS4803,CLARKRUSSELLJ,CS4803,CS 4803,MAL,2010,"Clark, Russell J",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.502,Spring
CS4803,LEAHYWILLIAM,CS4803,CS 4803,CI,2010,"Leahy, William",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.502,Spring
CS4803,NERSESSIANNANCYJ,CS4803,CS 4803,CNC,2010,"Nersessian, Nancy J",29,29,14,7,0,0,Small (10-20 Students),Undergraduate,3.0,2010,3.502,Spring
CS4803,KIMHYESOON,CS4803,CS 4803,DGC,2010,"Kim, Hyesoon",24,24,4,0,0,24,Mid-Size (21-30 Students),Undergraduate,3.38,2010,3.502,Spring
CS4803,MACINTYREBLAIR,CS4803,CS 4803,HAR,2010,"MacIntyre, Blair",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.502,Summer
CS4803,TRAYNORPATRICKGERARD,CS4803,CS 4803,CNS,2010,"Traynor, Patrick Gerard",0,0,100,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,2.0,2010,3.502,Fall
CS4803,STILMANMICHAEL,CS4803,CS 4803,RIP,2010,"Stilman, Michael",0,100,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.0,2010,3.502,Fall
CS4803,BALCHTUCKERR,CS4803,CS 4803,FIN,2010,"Balch, Tucker R",0,100,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.0,2010,3.502,Fall
CS4803,BESTMICHAELL,CS4803,CS 4803,CCI,2010,"Best, Michael L",83,17,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.83,2010,3.502,Fall
CS4803,RIEDLMARKO,CS4803,CS 4803,AGA,2010,"Riedl, Mark O",67,11,0,0,22,0,Very Small (Fewer than 10 Students),Undergraduate,3.0,2010,3.502,Fall
CS4803,MACINTYREBLAIR,CS4803,CS 4803,HAR,2010,"MacIntyre, Blair",90,10,0,0,0,0,Small (10-20 Students),Undergraduate,3.9,2010,3.502,Fall
CS4803,LANTERMANAAROND,CS4803,CS 4803,MPG,2010,"Lanterman, Aaron D",63,26,5,0,5,0,Small (10-20 Students),Undergraduate,3.42,2010,3.502,Fall
CS4803,REHGJAMESMATTHEW,CS4803,CS 4803,BHI,2011,"Rehg, James Matthew",50,50,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.5,2011,3.4266666666666663,Spring
CS4803,LEBANONGUY,CS4803,CS 4803,DVA,2011,"Lebanon, Guy",0,0,0,67,33,0,Very Small (Fewer than 10 Students),Undergraduate,0.67,2011,3.4266666666666663,Spring
CS4803,CLARKRUSSELLJ,CS4803,CS 4803,MAL,2011,"Clark, Russell J",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2011,3.4266666666666663,Spring
CS4803,MACINTYREBLAIR,CS4803,CS 4803,HAR,2011,"MacIntyre, Blair",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2011,3.4266666666666663,Spring
CS4803,KIMHYESOON,CS4803,CS 4803,DGC,2011,"Kim, Hyesoon",46,4,4,0,0,21,Mid-Size (21-30 Students),Undergraduate,3.77,2011,3.4266666666666663,Spring
CS4803,CHOWEDMONDT,CS4803,CS 4803,CPS,2011,"Chow, Edmond T",50,50,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.5,2011,3.4266666666666663,Fall
CS4803,RIEDLMARKO,CS4803,CS 4803,SVW,2011,"Riedl, Mark O",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2011,3.4266666666666663,Fall
CS4803,BESTMICHAELL,CS4803,CS 4803,CCI,2011,"Best, Michael L",50,50,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.5,2011,3.4266666666666663,Fall
CS4803,LANTERMANAAROND,CS4803,CS 4803,MPG,2011,"Lanterman, Aaron D",90,10,0,0,0,0,Small (10-20 Students),Undergraduate,3.9,2011,3.4266666666666663,Fall
CS4803,GIFFINJONATHONTHOMAS,CS4803,CS 4803,RMZ,2012,"Giffin, Jonathon Thomas",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2012,3.7357142857142853,Spring
CS4803,KIMHYESOON,CS4803,CS 4803,PGC,2012,"Kim, Hyesoon",78,11,0,0,0,11,Very Small (Fewer than 10 Students),Undergraduate,3.88,2012,3.7357142857142853,Spring
CS4803,GUZDIALMARK,CS4803,CS 4803,R,2012,"Guzdial, Mark",100,0,0,0,0,0,Small (10-20 Students),Undergraduate,4.0,2012,3.7357142857142853,Summer
CS4803,RIEDLMARKO,CS4803,CS 4803,AGA,2012,"Riedl, Mark O",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2012,3.7357142857142853,Fall
CS4803,BALCHTUCKERR,CS4803,CS 4803,MLT,2012,"Balch, Tucker R",67,33,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.67,2012,3.7357142857142853,Fall
CS4803,CHOWEDMONDT,CS4803,CS 4803,CPS,2012,"Chow, Edmond T",29,14,14,0,14,29,Very Small (Fewer than 10 Students),Undergraduate,2.6,2012,3.7357142857142853,Fall
CS4803,LANTERMANAAROND,CS4803,CS 4803,MPG,2012,"Lanterman, Aaron D",71,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2012,3.7357142857142853,Fall
CS4803,GOELASHOKK,CS4803,CS 4803,CC,2013,"Goel, Ashok K",20,20,0,0,20,20,Very Small (Fewer than 10 students),Undergraduate,2.33,2013,3.7216666666666662,Spring
CS4803,CHAUDUENHORNG,CS4803,CS 4803,DVA,2013,"Chau, Duen Horng",75,0,0,0,0,25,Very Small (Fewer than 10 students),Undergraduate,4.0,2013,3.7216666666666662,Spring
CS4803,STILMANMICHAEL,CS4803,CS 4803,HR,2013,"Stilman, Michael",78,0,0,0,0,0,Very Small (Fewer than 10 students),Undergraduate,4.0,2013,3.7216666666666662,Spring
CS4803,RAMACHANDRANUMAKISHORE,CS4803,CS 4803,ME,2013,"Ramachandran, Umakishore",93,0,0,0,0,7,Small (10-20 students),Undergraduate,4.0,2013,3.7216666666666662,Spring
CS4803,LEAHYWILLIAM,CS4803,CS 4803,PDE,2013,"Leahy, William",25,0,0,0,0,0,Very Small (Fewer than 10 students),Undergraduate,4.0,2013,3.7216666666666662,Spring
CS4803,ANTONANAI,CS4803,CS 4803,PPL,2013,"Anton, Ana I",33,0,0,0,0,33,Very Small (Fewer than 10 students),Undergraduate,4.0,2013,3.7216666666666662,Spring
CS4802,MOOREIIELLIOT,CS4802,CS 4802,VP1,2009,"Moore II, Elliot",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2009,4.0,Fall
CS4802,COYLEEDWARDJ,CS4802,CS 4802,VP3,2010,"Coyle, Edward J",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,4.0,Spring
