Course,Year,GPA
CS 4605,2007.0,3.43
CS 4605,2008.0,3.63
CS 4605,2009.0,3.45
CS 4605,2010.0,3.39
CS 4605,2011.0,3.68
CS 4605,2013.0,3.62
CS 3651,2009.0,3.73
CS 3651,2010.0,3.775
CS 3651,2011.0,3.86
CS 3651,2012.0,3.375
CS 3651,2013.0,3.575
CS 3650,2008.0,4.0
CS 4752,2003.0,3.33
CS 4752,2007.0,3.45
CS 4752,2009.0,3.13
CS 4752,2011.0,2.79
CS 4752,2013.0,3.32
CS 1050,1999.0,2.16
CS 1050,2000.0,2.5958333333333337
CS 1050,2001.0,2.731111111111111
CS 1050,2002.0,2.70625
CS 1050,2003.0,2.44
CS 1050,2004.0,2.892857142857143
CS 1050,2005.0,2.9657142857142857
CS 1050,2006.0,2.9642857142857144
CS 1050,2007.0,3.0885714285714285
CS 1050,2008.0,3.1
CS 1050,2009.0,2.935
CS 1050,2010.0,2.6855555555555557
CS 1050,2011.0,2.7575000000000003
CS 7001,2008.0,4.0
CS 7001,2009.0,4.0
CS 7001,2010.0,4.0
CS 7001,2011.0,3.79
CS 7001,2012.0,3.88
CS 8801,2008.0,3.67
CS 8801,2011.0,4.0
CS 8801,2012.0,4.0
CS 6485,2000.0,3.58
CS 6485,2001.0,3.47
CS 6485,2002.0,3.64
CS 6485,2003.0,4.0
CS 6485,2007.0,3.5
CS 6310,2001.0,4.0
CS 6310,2003.0,3.56
CS 6310,2004.0,4.0
CS 6310,2005.0,3.45
CS 6310,2006.0,3.57
CS 6310,2007.0,3.29
CS 6310,2008.0,3.31
CS 6310,2009.0,3.3733333333333335
CS 6310,2010.0,3.2533333333333334
CS 8805,2007.0,3.96
CS 8804,2002.0,4.0
CS 8804,2010.0,3.5
CS 8804,2012.0,4.0
CS 3300,2000.0,3.5
CS 3300,2001.0,3.375
CS 3300,2002.0,3.4349999999999996
CS 3300,2003.0,3.3799999999999994
CS 3300,2004.0,3.52
CS 3300,2005.0,3.465
CS 3300,2006.0,3.43
CS 3300,2007.0,3.1799999999999997
CS 3300,2008.0,3.5533333333333332
CS 3300,2009.0,3.295
CS 3300,2010.0,3.105
CS 3300,2011.0,4.0
CS 3300,2012.0,3.645
CS 4470,2000.0,3.1
CS 4470,2001.0,3.18
CS 4470,2002.0,3.23
CS 4470,2003.0,2.52
CS 4470,2004.0,2.43
CS 4470,2006.0,3.42
CS 4470,2007.0,2.62
CS 4470,2008.0,2.38
CS 4470,2009.0,4.0
CS 4470,2010.0,3.29
CS 4470,2011.0,3.0
CS 4470,2012.0,2.75
CS 4472,2010.0,3.64
CS 4472,2011.0,3.5
CS 4472,2012.0,4.0
CS 4472,2013.0,3.77
CS 3911,2001.0,3.6125
CS 3911,2002.0,3.0975
CS 3911,2003.0,3.723333333333333
CS 3911,2004.0,3.534
CS 3911,2005.0,3.7350000000000003
CS 6601,2003.0,3.57
CS 6601,2004.0,3.51
CS 6601,2005.0,3.94
CS 6601,2006.0,3.59
CS 6601,2007.0,4.0
CS 6601,2008.0,3.28
CS 6601,2009.0,3.585
CS 6601,2011.0,3.56
CS 6601,2012.0,3.495
CS 4475,2006.0,3.61
CS 4475,2009.0,3.69
CS 4475,2010.0,3.55
CS 4475,2011.0,3.965
CS 4475,2012.0,3.8
CS 4475,2013.0,3.44
CS 6400,1999.0,3.55
CS 6400,2000.0,3.4
CS 6400,2001.0,2.89
CS 6400,2002.0,3.43
CS 6400,2004.0,3.5
CS 6400,2005.0,3.4699999999999998
CS 6400,2006.0,3.3049999999999997
CS 6400,2007.0,3.3899999999999997
CS 6400,2008.0,3.48
CS 6400,2009.0,3.5
CS 6400,2010.0,3.58
CS 6400,2012.0,3.73
CS 8802,2000.0,4.0
CS 8802,2003.0,4.0
CS 8802,2005.0,4.0
CS 8802,2007.0,3.885
CS 8802,2008.0,4.0
CS 8802,2011.0,3.5
CS 7790,2002.0,4.0
CS 7790,2003.0,4.0
CS 2341,2000.0,3.1337500000000005
CS 2341,2001.0,3.13
CS 7270,2000.0,3.5
CS 7270,2002.0,3.62
CS 7270,2003.0,4.0
CS 7270,2004.0,4.0
CS 7270,2007.0,3.64
CS 7270,2009.0,3.79
CS 7270,2011.0,3.89
CS 7270,2012.0,3.91
CSE 6301,2011.0,3.83
CS 4261,2009.0,3.29
CS 4261,2010.0,3.65
CS 4261,2011.0,3.8
CS 4261,2012.0,3.8600000000000003
CS 4261,2013.0,3.745
CS 4260,1999.0,3.22
CS 4260,2000.0,3.4966666666666666
CS 4260,2001.0,3.5700000000000003
CS 4260,2002.0,3.52
CS 4260,2003.0,3.5833333333333335
CS 4260,2005.0,3.79
CS 6280,2001.0,3.71
CS 6280,2002.0,3.5
CS 6280,2003.0,3.86
CS 6010,2000.0,3.71
CS 6010,2001.0,3.78
CS 6010,2002.0,3.33
CS 6010,2003.0,3.84
CS 6010,2005.0,3.75
CS 4750,1999.0,3.62
CS 4750,2000.0,3.2825
CS 4750,2001.0,3.4839999999999995
CS 4750,2002.0,3.424285714285715
CS 4750,2003.0,3.305714285714285
CS 4750,2004.0,3.4057142857142857
CS 4750,2005.0,3.164
CS 4750,2006.0,3.23
CS 4495,1999.0,2.43
CS 4495,2000.0,3.56
CS 4495,2001.0,3.38
CS 4495,2002.0,3.36
CS 4495,2003.0,3.68
CS 4495,2004.0,3.7
CS 4495,2005.0,3.35
CS 4495,2006.0,3.56
CS 4495,2007.0,3.67
CS 4495,2008.0,3.55
CS 4495,2009.0,3.37
CS 4495,2010.0,3.59
CS 4495,2011.0,2.86
CS 4495,2012.0,3.235
CSE 6240,2011.0,4.0
CSE 6240,2012.0,3.965
CSE 6240,2013.0,3.9266666666666663
